Beast,CR,CR#,Basic Familiar,Beast Companion,Size,XP,AC,HP,Speed,Fly,Swim,Skills,Senses,Ability1,Ability2,Ability3,Ability4,Multiattack,Attack1,Attack2,Combat Notes,STR,DEX,CON,INT,WIS,CHA,Saving Throws,Environment,Alignment,Language,SourceMaterial,MM Description
Boar,1/4th,0.25,FALSE,TRUE,Medium,50,11,11 (2d8 + 2),40 ft.,FALSE,FALSE,none,Passive Perception 9,"Charge. If the boar moves at least 20 feet straight toward a target and then hits it with a tusk attack on the same turn, the target takes an extra 3 (1d6) slashing damage. If the target is a creature, it must succeed on a DC 11 Strength saving throw or be knocked prone.","Relentless (Recharges after a Short or Long Rest). If the boar takes 7 damage or less that would reduce it to 0 hit points, it is reduced to 1 hit point instead.",none,none,none,"Tusk. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) slashing damage.",none,prone,13 (+1),11 (+0),12 (+1),2 (?4),9 (?1),5 (?3),,"Forest,Grassland,Hill",Unaligned,none,Monster Manual,"Mastiffs are impressive hounds prized by humanoids for their loyalty and keen senses. Mastiffs can be trained as guard dogs, hunting dogs, and war dogs. Halflings and other Small humanoids ride them as mounts."
Brontosaurus,5,5,FALSE,FALSE,Gargantuan,1800,15,121 (9d20+27),30 ft.,FALSE,FALSE,none,Passive Perception 10,none,none,none,none,none,"Stomp. Melee Weapon Attack: +8 to hit, reach 20 ft., one target. Hit: 27 (5d8+5) bludgeoning damage, and the target must succed on a DC 14 Strength saving throw or be knocked prone.","Tail. Melee Weapon Attack: +8 to hit, reach 20 ft., one target. Hit: 32 (6d8+5) bludgeoning damage.",prone,21 (+5),9 (-1),17 (+3),2 (-4),10 (0),7 (-2),Con+6,"Forest,Grassland",Unaligned,none,Volo's Guide,"Smaller than a giant shark but larger and fiercer than a reef shark, a hunter shark haunts deep waters. It usually hunts alone, but multiple hunter sharks might feed in the same area. A fully grown hunter shark is 15 to 20 feet long."
Brown Bear,1,1,FALSE,FALSE,Large,200,11,34 (4d10 + 12),"40 ft., climb 30 ft.",FALSE,FALSE,Perception +3,Passive Perception 13-18,Keen Smell. The bear has advantage on Wisdom (Perception) checks that rely on smell.,none,none,none,Multiattack. The bear makes two attacks: one with its bite and one with its claws.,"Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) piercing damage.","Claws. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage.",none,19 (+4),10 (+0),16 (+3),2 (?4),13 (+1),7 (?2),,"Arctic,Forest",Unaligned,none,Monster Manual,"Smaller than a giant spider, a giant wolf spider hunts prey across open ground or hides in a burrow or crevice, or in a hidden cavity beneath debris."
Camel,1/8th,0.125,FALSE,TRUE,Large,25,9,15 (2d10 + 4),50 ft.,FALSE,FALSE,none,Passive Perception 9,none,none,none,none,none,"Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 2 (1d4) bludgeoning damage.",none,none,16 (+3),8 (?1),14 (+2),2 (?4),8 (?1),5 (?3),,Desert,Unaligned,none,Monster Manual,"Smaller than giant sharks and hunter sharks, reef sharks inhabit shallow waters and coral reefs, gathering in small packs to hunt. A full-grown specimen measures 6 to 10 feet long."
Cat,0,0,TRUE,TRUE,Tiny,10,12,2 (1d4),"40 ft., climb 30 ft.",FALSE,FALSE,"Perception +3, Stealth +4",Passive Perception 13-18,Keen Smell. The cat has advantage on Wisdom (Perception) checks that rely on smell.,none,none,none,none,"Claws. Melee Weapon Attack: +0 to hit, reach 5 ft., one target. Hit: 1 slashing damage.",none,none,3 (?4),15 (+2),10 (+0),3 (?4),12 (+1),7 (?2),,"Desert,Forest,Grassland",Unaligned,none,Monster Manual,Some giant rats carry vile diseases that they spread with their bites. A diseased giant rat has a challenge rating of 1/8 (25 XP) and the following action instead of its normal bite attack.
Cave Bear,2,2,FALSE,FALSE,Large,450,12,42 (5d10+15),"40 ft., swim 30 ft.",FALSE,TRUE,Perception +3,Passive Perception 13-18,Keen Smell. The bear has advantage on Wisdom (Perception) checks that rely on smell.,none,none,none,Multiattack. The bear makes two attacks: one with its bite and one with its claws.,"Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 9 (1d8 + 5) piercing damage.","Claws. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 12 (2d6 + 5) slashing damage.",none,20 (+5),10 (0),16 (+3),2 (-4),13 (+1),7 (-2),,Mountain,Unaligned,none,Monster Manual,"Taking its name from its crimson feathers and aggressive nature, the blood hawk fearlessly attacks almost any animal, stabbing it with its daggerlike beak. Blood hawks flock together in large numbers, attacking as a pack to take down prey."
Constrictor Snake,1/4th,0.25,FALSE,TRUE,Large,50,12,13 (2d10 + 2),"30 ft., swim 30 ft.",FALSE,TRUE,none,"Blindsight 10 ft., Passive Perception 10",none,none,none,none,none,"Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 5 (1d6 + 2) piercing damage.","Constrict. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 6 (1d8 + 2) bludgeoning damage, and the target is grappled (escape DC 14). Until this grapple ends, the creature is restrained, and the snake can't constrict another target.","grapple, restrain",15 (+2),14 (+2),12 (+1),1 (?5),10 (+0),3 (?4),,"Desert,Forest,Swamp,Underwater",Unaligned,none,Monster Manual,"The majestic giant elk is rare to the point that its appearance is often taken as a foreshadowing of an important event, such as the birth of a king. Legends tell of gods that take the form of giant elk when visiting the Material Plane. Many cultures therefore believe that to hunt these creatures is to invite divine wrath."
Cow,1/4th,0.25,FALSE,TRUE,Large,50,10,15 (2d10+4),30 ft.,FALSE,FALSE,none,Passive Perception 10,"Charge. If the cow moves at least 20 feet straight toward a target and then hits it with a gore attack on the same turn, the target takes an extra 7 (2d6) piercing damage.",none,none,none,none,"Gore. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6+4) piercing damage.",none,none,18 (+4),10 (0),14 (+2),2 (-4),10 (0),4 (-3),,Grassland,Unaligned,none,Volo's Guide,"To snare its prey, a giant spider spins elaborate webs or shoots sticky strands of webbing from its abdomen. Giant spiders are most commonly found underground, making their lairs on ceilings or in Dark, web-filled crevices. Such lairs are often festooned with web cocoons holding past victims."
Crab,0,0,TRUE,TRUE,Tiny,10,11,2 (1d4),"20 ft., swim 20 ft.",FALSE,TRUE,Stealth +2,"Blindsight 30 ft., Passive Perception 9",Amphibious. The crab can breathe air and water.,none,none,none,none,"Claw. Melee Weapon Attack: +0 to hit, reach 5 ft., one target. Hit: 1 bludgeoning damage.",none,none,2 (?4),11 (+0),10 (+0),1 (?5),8 (?1),2 (?4),,Coast,Unaligned,none,Monster Manual,
Crag Cat,1,1,FALSE,FALSE,Large,200,13,34 (4d10+12),40 ft.,FALSE,FALSE,Stealth +7,"Passive Perception 10, Darkvision 60 ft.",Nondetection. The cat cannot be targeted or detected by any divination magic or perceived through magical scrying sensors.,"Pounce. If the cat moves at least 20 feet straight toward a creature then hits it with a claw attack on the same turn, that target must succeed on a DC13 Strength saving throw or be knocked prone. If the target is prone, the cat can make one bite attack against it as a bonus action.","Spell Turning. The cat has advantage on saving throws against any spell that targets only the cat (not an area). If the cat�s saving throw succeeds and the spell is of 7th level or lower, the spell has no effect on the cat and instead targets the caster.",none,none,"Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (1d10+3) piercing damage.","Claw. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8+3) slashing damage.",prone,16 (+3),17 (+3),16 (+3),4 (-3),14 (+2),8 (-1),,"Arctic,Mountain",Unaligned,none,Storm King's Thunder,
Cranium Rat,0,0,FALSE,TRUE,Tiny,10,12,2 (1d4),30 ft.,FALSE,FALSE,none,"Passive Perception 10, Darkvision 30 ft.","Illumination. As a bonus action, the cranium rat can shed dim light from its brain in a 5-foot radius or extinguish the light.","Telepathic Shroud. The cranium rat is immune to any effect that would sense its emotions or read its thoughts, as well as to all divination spells.",none,none,none,"Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 1 piercing damage.",none,"divination protection, telepathy",2 (-4),14 (+2),10 (0),4 (-3),11 (0),8 (-1),,"Underdark,Urban",LE,telepathy 30 ft.,Volo's Guide,
Crocodile,1/2nd,0.5,FALSE,FALSE,Large,100,12,19 (3d10 + 3),"20 ft., swim 30 ft.",FALSE,TRUE,Stealth +2,Passive Perception 10,Hold Breath. The crocodile can hold its breath for 15 minutes.,none,none,none,none,"Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 7 (1d10 + 2) piercing damage, and the target is grappled (escape DC 12). Until this grapple ends, the target is restrained, and the crocodile can't bite another target.",none,"grapple, restrain",15 (+2),10 (+0),13 (+1),2 (?4),10 (+0),5 (?3),,Swamp,Unaligned,none,Monster Manual,
Deep Rothe,1/4th,0.25,FALSE,TRUE,Medium,50,10,13 (2d8+4),30 ft.,FALSE,FALSE,none,"Passive Perception 10, Darkvision 60 ft.","Charge. If the rothe moves at least 20 feet straight toward a target and then hits it with a gore attack on the same turn, the target takes an extra 7 (2d6) piercing damage.","Innate Spellcasting. The deep rothe�s spellcasting ability is Charisma. It can innately cast dancing lights at will, requiring no components.",none,none,none,"Gore. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6+4) piercing damage.",none,dancing lights,18 (+4),10 (0),14 (+2),2 (-4),10 (0),4 (-3),,Underdark,Unaligned,none,Volo's Guide,
Deer,0,0,FALSE,TRUE,Medium,10,13,4 (1d8),50 ft.,FALSE,FALSE,none,Passive Perception 12,none,none,none,none,none,"Bite. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) piercing damage.",none,none,11 (+0),16 (+3),11 (+0),2 (?4),14 (+2),5 (?3),,"Forest,Grassland",Unaligned,none,Monster Manual,This huge crab's is about 20 ft. in diameter.
Deinonychus,1,1,FALSE,FALSE,Medium,200,13,26 (4d8+8),40 ft.,FALSE,FALSE,Perception +3,Passive Perception 13,"Pounce. If the deinonychus moves at least 20 feet straight toward a creature and then hits it with a claw attack on the same turn, that target must succeed on a DC 12 Strength saving throw or be knocked prone. If the target is prone, the deinonychus can make one bite attack against it as a bonus action.",none,none,none,Multiattack. The deinonychus makes three attacks: one with its bite and two with its claws.,"Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8+2) piercing damage.","Claw. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8+2) slashing damage.",prone,15 (+2),15 (+2),14 (+2),4 (-3),12 (+1),6 (-2),,"Forest,Hill",Unaligned,none,Volo's Guide,
Dimetrodon,1/4th,0.25,FALSE,TRUE,Medium,50,12,19 (3d8+6),"30 ft., swim 20 ft.",FALSE,TRUE,Perception +2,Passive Perception 12,none,none,none,none,none,"Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 9 (2d6+2) piercing damage.",none,none,14 (+2),10 (0),15 (+2),2 (-4),10 (0),5 (-3),,"Coastal,Grassland,Swamp",Unaligned,none,Volo's Guide,
Dire Wolf,1,1,FALSE,FALSE,Large,200,14,37 (5d10 + 10),50 ft.,FALSE,FALSE,"Perception +3, Stealth +4",Passive Perception 13-18,Keen Hearing and Smell. The wolf has advantage on Wisdom (Perception) checks that rely on hearing or smell.,Pack Tactics. The wolf has advantage on an attack roll against a creature if at least one of the wolf's allies is within 5 feet of the creature and the ally isn't incapacitated.,none,none,none,"Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone.",none,prone,17 (+3),15 (+2),15 (+2),3 (?4),12 (+1),7 (?2),,Forest,Unaligned,none,Monster Manual,
Dolphin,1/8th,0.125,FALSE,TRUE,Medium,25,12,11 (2d8+2),"0 ft., swim 60 ft.",FALSE,TRUE,Perception +3,"Passive Perception 13, Blindsight 60 ft.","Charge. If the dolphin moves at least 30 feet straight toward a target and then hits it with a slam attack on the same turn, the target takes an extra 3 (1d6) bludgeoning damage.",Hold Breath. The dolphin can hold its breath for 20 minutes.,none,none,none,"Slam. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6+2) bludgeoning damage.",none,none,14 (+2),13 (+1),13 (+1),6 (-2),12 (+1),7 (-2),,"Coastal,Underwater",Unaligned,none,Volo's Guide,
Draft Horse,1/4th,0.25,FALSE,TRUE,Large,50,10,19 (3d10 + 3),40 ft.,FALSE,FALSE,none,Passive Perception 10,none,none,none,none,none,"Hooves. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 9 (2d4 + 4) bludgeoning damage.",none,none,18 (+4),10 (+0),12 (+1),2 (?4),11 (+0),7 (?2),,"Grassland,Hill,Forest,Mountain",Unaligned,none,Monster Manual,
Eagle,0,0,FALSE,TRUE,Small,10,12,3 (1d6),"10 ft., fly 60 ft.",TRUE,FALSE,Perception +4,Passive Perception 14-19,Keen Sight. The eagle has advantage on Wisdom (Perception) checks that rely on sight.,none,none,none,none,"Talons. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage.",none,none,6 (?2),15 (+2),10 (+0),2 (?4),14 (+2),7 (?2),,"Coast,Grassland,Hill,Mountain",Unaligned,none,Monster Manual,
Elephant,4,4,FALSE,FALSE,Huge,1100,12,76 (8d12 + 24),40 ft.,FALSE,FALSE,none,Passive Perception 10,"Trampling Charge. If the elephant moves at least 20 feet straight toward a creature and then hits it with a gore attack on the same turn, that target must succeed on a DC 12 Strength saving throw or be knocked prone. If the target is prone, the elephant can make one stomp attack against it as a bonus action.",none,none,none,none,"Gore. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 19 (3d8 + 6) piercing damage.","Stomp. Melee Weapon Attack: +8 to hit, reach 5 ft., one prone creature. Hit: 22 (3d10 + 6) bludgeoning damage.",prone,22 (+6),9 (?1),17 (+3),3 (?4),11 (+0),6 (?2),,Grassland,Unaligned,none,Monster Manual,
Elk,1/4th,0.25,FALSE,TRUE,Large,50,10,13 (2d10 + 2),50 ft.,FALSE,FALSE,none,Passive Perception 10,"Charge. If the elk moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 7 (2d6) damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone.",none,none,none,none,"Ram. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) bludgeoning damage.","Hooves. Melee Weapon Attack: +5 to hit, reach 5 ft., one prone creature. Hit: 8 (2d4 + 3) bludgeoning damage.",prone,16 (+3),10 (+0),12 (+1),2 (?4),10 (+0),6 (?2),,"Forest,Grassland,Hill",Unaligned,none,Monster Manual,
Female Steeder,1,1,FALSE,FALSE,Large,200,14,30 (4d10+8),"30 ft., climb 30 ft.",FALSE,FALSE,Stealth +7,"Passive Perception 10, Darkvision 120 ft.","Spider Climb. The steeder can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.","Leap. The steeder can expend all its movement on its turn to jump up to 90 feet vertically or horizontally, provided that is speed is at least 30 feet.",none,none,none,"Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 7 (1d8 + 3) piercing damage, and the target must make a DC 12 Constitution saving throw, taking 9 (2d8) acid damage on a failed save, or half as much damage on a successful one.","Sticky Leg (Recharges when the Steeder Has No Creatures Grappled. Melee Weapon Attack: +5 to hit, reach 5 ft., one Medium or smaller creature. Hit: The target is stuck ot the steeder�s leg and grappled until it escapes (escape DC 12)","grapple, jump",15 (+2),16 (+3),14 (+2),2 (-4),10 (0),3 (-4),,Underdark,Unaligned,none,Out Of The Abyss,
Flying Snake,1/8th,0.125,FALSE,TRUE,Tiny,25,14,5 (2d4),"30 ft., fly 60 ft., swim 30 ft.",TRUE,TRUE,none,"Blindsight 10 ft., Passive Perception 11",Flyby. The snake doesn't provoke opportunity attacks when it flies out of an enemy's reach.,none,none,none,none,"Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 1 piercing damage plus 7 (3d4) poison damage.",none,none,4 (?3),18 (+4),11 (+0),2 (?4),12 (+1),5 (?3),,"Desert,Forest,Grassland",Unaligned,none,Monster Manual,
Frog,0,0,TRUE,TRUE,Tiny,0,11,1 (1d4 ? 1),"20 ft., swim 20 ft.",FALSE,TRUE,"Perception +1, Stealth +3","Darkvision 30 ft., Passive Perception 11",Amphibious. The frog can breathe air and water.,"Standing Leap. The frog's long jump is up to 10 feet and its high jump is up to 5 feet, with or without a running start.",none,none,none,"A frog has no effective attacks. It feeds on small insects and typically dwells near water, in trees, or underground. The frog's statistics can also be used to represent a toad.",none,none,1 (?5),13 (+1),8 (?1),1 (?5),8 (?1),3 (?4),,"Coast,Desert,Forest,Swamp,UnderDark",Unaligned,none,Monster Manual,
Giant Ape,7,7,FALSE,FALSE,Huge,2900,12,157 (15d12 + 60),"40 ft., climb 40 ft.",FALSE,FALSE,"Athletics +9, Perception +4",Passive Perception 14,none,none,none,none,Multiattack. The ape makes two fist attacks.,"Fist. Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 22 (3d10 + 6) bludgeoning damage.","Rock. Ranged Weapon Attack: +9 to hit, range 50/100 ft., one target. Hit: 30 (7d6 + 6) bludgeoning damage.",none,23 (+6),14 (+2),18 (+4),7 (?2),12 (+1),7 (?2),,Forest,Unaligned,none,Monster Manual,
Giant Badger,1/4th,0.25,FALSE,TRUE,Medium,50,10,13 (2d8 + 4),"30 ft., burrow 10 ft.",FALSE,FALSE,none,"Passive Perception 11-16, Darkvision 30 ft.",Keen Smell. The badger has advantage on Wisdom (Perception) checks that rely on smell.,none,none,none,Multiattack. The badger makes two attacks: one with its bite and one with its claws.,"Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) piercing damage.","Claws. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 6 (2d4 + 1) slashing damage.",none,13 (+1),10 (+0),15 (+2),2 (?4),12 (+1),5 (?3),,Forest,Unaligned,none,Monster Manual,
Giant Bat,1/4th,0.25,FALSE,TRUE,Large,50,13,22 (4d10),"10 ft., fly 60 ft.",TRUE,FALSE,none,"Passive Perception 11-16, Blindsight 60 ft.",Echolocation. The bat can't use its blindsight while deafened.,Keen Hearing. The bat has advantage on Wisdom (Perception) checks that rely on hearing.,none,none,none,"Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 5 (1d6 + 2) piercing damage.",none,none,15 (+2),16 (+3),11 (+0),2 (?4),12 (+1),6 (?2),,"Forest,UnderDark",Unaligned,none,Monster Manual,
Giant Boar,2,2,FALSE,FALSE,Large,450,12,42 (5d10 + 15),40 ft.,FALSE,FALSE,none,Passive Perception 8,"Charge. If the boar moves at least 20 feet straight toward a target and then hits it with a tusk attack on the same turn, the target takes an extra 7 (2d6) slashing damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone.","Relentless (Recharges after a Short or Long Rest). If the boar takes 10 damage or less that would reduce it to 0 hit points, it is reduced to 1 hit point instead.",none,none,none,"Tusk. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) slashing damage.",none,prone,17 (+3),10 (+0),16 (+3),2 (?4),7 (?2),5 (?3),,"Forest,Grassland,Hill",Unaligned,none,Monster Manual,
Giant Centipede,1/4th,0.25,FALSE,TRUE,Small,50,13,4 (1d6 + 1),"30 ft., climb 30 ft.",FALSE,FALSE,none,"Blindsight 30 ft., Passive Perception 8",none,none,none,none,none,"Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 4 (1d4 + 2) piercing damage, and the target must succeed on a DC 11 Constitution saving throw or take 10 (3d6) poison damage. If the poison damage reduces the target to 0 hit points, the target is stable but poisoned for 1 hour, even after regaining hit points, and is paralyzed while poisoned in this way.",none,"stabilize, poison, paralyze",5 (?3),14 (+2),12 (+1),1 (?5),7 (?2),3 (?4),,UnderDark,Unaligned,none,Monster Manual,
